Lead_ID,Lead_Source,Total_Visits,Total_Time_Spent_on_Website,Last_Activity,Occupation,Email_Opened,Page_Views_Per_Visit,Lead_Age_Days,Converted,Lead_Score,Priority,Rank,AI_Action,AI_Reasons,AI_Urgency,AI_Channel,AI_OneLiner
LEAD-1174,Social Media,23,2914,Page Visited,Unemployed,4,5.85,133,1,0.8905,High,53,Call immediately — this lead has shown strong buying intent. Reference their page visited and offer a personalized demo.,High engagement: 23 website visits | Activity signal: 'Page Visited' indicates intent | Source 'Social Media' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1156,Social Media,20,2808,Form Submitted,Working Professional,4,2.72,147,1,0.8891,High,54,Call immediately — this lead has shown strong buying intent. Reference their form submitted and offer a personalized demo.,High engagement: 20 website visits | Activity signal: 'Form Submitted' indicates intent | Source 'Social Media' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1090,Email Campaign,16,957,Email Opened,Working Professional,14,7.26,5,1,0.8886,High,55,Call immediately — this lead has shown strong buying intent. Reference their email opened and offer a personalized demo.,High engagement: 16 website visits | Activity signal: 'Email Opened' indicates intent | Source 'Email Campaign' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1193,Referral,18,717,Form Submitted,Other,1,4.32,46,1,0.8849,High,56,Call immediately — this lead has shown strong buying intent. Reference their form submitted and offer a personalized demo.,High engagement: 18 website visits | Activity signal: 'Form Submitted' indicates intent | Source 'Referral' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1016,Social Media,27,853,Form Submitted,Other,6,4.52,16,1,0.8844,High,57,Call immediately — this lead has shown strong buying intent. Reference their form submitted and offer a personalized demo.,High engagement: 27 website visits | Activity signal: 'Form Submitted' indicates intent | Source 'Social Media' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1048,Referral,17,1693,Form Submitted,Student,14,2.62,158,1,0.8818,High,58,Call immediately — this lead has shown strong buying intent. Reference their form submitted and offer a personalized demo.,High engagement: 17 website visits | Activity signal: 'Form Submitted' indicates intent | Source 'Referral' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1051,Social Media,16,119,Form Submitted,Other,0,1.73,37,1,0.8815,High,59,Call immediately — this lead has shown strong buying intent. Reference their form submitted and offer a personalized demo.,High engagement: 16 website visits | Activity signal: 'Form Submitted' indicates intent | Source 'Social Media' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1072,Cold Call,17,487,Page Visited,Working Professional,10,3.95,52,1,0.8797,High,60,Call immediately — this lead has shown strong buying intent. Reference their page visited and offer a personalized demo.,High engagement: 17 website visits | Activity signal: 'Page Visited' indicates intent | Source 'Cold Call' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1188,Website,29,2492,Email Opened,Working Professional,5,5.88,2,1,0.8768,High,61,Call immediately — this lead has shown strong buying intent. Reference their email opened and offer a personalized demo.,High engagement: 29 website visits | Activity signal: 'Email Opened' indicates intent | Source 'Website' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1033,Website,28,1126,No Activity,Businessman,13,4.92,62,1,0.8765,High,62,Call immediately — this lead has shown strong buying intent. Reference their no activity and offer a personalized demo.,High engagement: 28 website visits | Activity signal: 'No Activity' indicates intent | Source 'Website' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1126,Cold Call,28,2427,No Activity,Businessman,14,2.16,40,1,0.8759,High,63,Call immediately — this lead has shown strong buying intent. Reference their no activity and offer a personalized demo.,High engagement: 28 website visits | Activity signal: 'No Activity' indicates intent | Source 'Cold Call' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1069,Social Media,24,1119,Email Opened,Businessman,1,1.19,62,1,0.8754,High,64,Call immediately — this lead has shown strong buying intent. Reference their email opened and offer a personalized demo.,High engagement: 24 website visits | Activity signal: 'Email Opened' indicates intent | Source 'Social Media' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1035,Cold Call,25,773,Form Submitted,Unemployed,7,2.27,121,1,0.8729,High,65,Call immediately — this lead has shown strong buying intent. Reference their form submitted and offer a personalized demo.,High engagement: 25 website visits | Activity signal: 'Form Submitted' indicates intent | Source 'Cold Call' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1097,Referral,14,2388,Demo Requested,Unemployed,2,2.81,122,1,0.8715,High,66,Call immediately — this lead has shown strong buying intent. Reference their demo requested and offer a personalized demo.,High engagement: 14 website visits | Activity signal: 'Demo Requested' indicates intent | Source 'Referral' historically converts well,Contact within 24h,Phone,Ready to buy — prioritize a personal outreach today.
LEAD-1117,Email Campaign,13,1782,Demo Requested,Businessman,10,5.18,105,1,0.8711,High,67,Call immediately — this lead has shown strong buying intent. Reference their demo requested and offer a personalized demo.,High engagement: 13 website visits | Activity signal: 'Demo Requested' indicates intent | Source 'Email Campaign' historically converts well,Contact within 24h,Phone,Ready to buy — prioritize a personal outreach today.
LEAD-1038,Website,10,2931,Demo Requested,Working Professional,6,3.61,153,1,0.8699,High,68,Call immediately — this lead has shown strong buying intent. Reference their demo requested and offer a personalized demo.,High engagement: 10 website visits | Activity signal: 'Demo Requested' indicates intent | Source 'Website' historically converts well,Contact within 24h,Phone,Ready to buy — prioritize a personal outreach today.
LEAD-1113,Email Campaign,22,1348,Email Opened,Unemployed,6,1.08,142,1,0.8681,High,69,Call immediately — this lead has shown strong buying intent. Reference their email opened and offer a personalized demo.,High engagement: 22 website visits | Activity signal: 'Email Opened' indicates intent | Source 'Email Campaign' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1018,Website,19,574,Demo Requested,Unemployed,13,1.47,108,1,0.8658,High,70,Call immediately — this lead has shown strong buying intent. Reference their demo requested and offer a personalized demo.,High engagement: 19 website visits | Activity signal: 'Demo Requested' indicates intent | Source 'Website' historically converts well,Contact within 24h,Phone,Ready to buy — prioritize a personal outreach today.
LEAD-1088,Social Media,22,2141,Email Opened,Unemployed,4,7.08,6,1,0.8628,High,71,Call immediately — this lead has shown strong buying intent. Reference their email opened and offer a personalized demo.,High engagement: 22 website visits | Activity signal: 'Email Opened' indicates intent | Source 'Social Media' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1079,Social Media,16,2908,Form Submitted,Businessman,14,2.88,54,1,0.8614,High,72,Call immediately — this lead has shown strong buying intent. Reference their form submitted and offer a personalized demo.,High engagement: 16 website visits | Activity signal: 'Form Submitted' indicates intent | Source 'Social Media' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1124,Website,21,1931,Page Visited,Unemployed,8,4.63,170,1,0.859,High,73,Call immediately — this lead has shown strong buying intent. Reference their page visited and offer a personalized demo.,High engagement: 21 website visits | Activity signal: 'Page Visited' indicates intent | Source 'Website' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1070,Website,20,1141,Email Opened,Unemployed,9,2.27,77,1,0.8589,High,74,Call immediately — this lead has shown strong buying intent. Reference their email opened and offer a personalized demo.,High engagement: 20 website visits | Activity signal: 'Email Opened' indicates intent | Source 'Website' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1045,Website,25,369,Form Submitted,Working Professional,7,5.61,173,1,0.8581,High,75,Call immediately — this lead has shown strong buying intent. Reference their form submitted and offer a personalized demo.,High engagement: 25 website visits | Activity signal: 'Form Submitted' indicates intent | Source 'Website' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1163,Website,25,1122,Form Submitted,Student,8,1.64,48,1,0.8573,High,76,Call immediately — this lead has shown strong buying intent. Reference their form submitted and offer a personalized demo.,High engagement: 25 website visits | Activity signal: 'Form Submitted' indicates intent | Source 'Website' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1002,Email Campaign,22,19,Form Submitted,Other,4,4.49,98,1,0.8558,High,77,Call immediately — this lead has shown strong buying intent. Reference their form submitted and offer a personalized demo.,High engagement: 22 website visits | Activity signal: 'Form Submitted' indicates intent | Source 'Email Campaign' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1083,Cold Call,29,996,Form Submitted,Working Professional,3,4.05,107,1,0.8552,High,78,Call immediately — this lead has shown strong buying intent. Reference their form submitted and offer a personalized demo.,High engagement: 29 website visits | Activity signal: 'Form Submitted' indicates intent | Source 'Cold Call' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1132,Social Media,16,1440,No Activity,Working Professional,3,3.02,72,1,0.8542,High,79,Call immediately — this lead has shown strong buying intent. Reference their no activity and offer a personalized demo.,High engagement: 16 website visits | Activity signal: 'No Activity' indicates intent | Source 'Social Media' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1099,Website,16,1635,No Activity,Student,3,6.84,123,1,0.8481,High,80,Call immediately — this lead has shown strong buying intent. Reference their no activity and offer a personalized demo.,High engagement: 16 website visits | Activity signal: 'No Activity' indicates intent | Source 'Website' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1014,Social Media,20,2774,No Activity,Working Professional,7,1.6,141,1,0.8474,High,81,Call immediately — this lead has shown strong buying intent. Reference their no activity and offer a personalized demo.,High engagement: 20 website visits | Activity signal: 'No Activity' indicates intent | Source 'Social Media' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1110,Website,19,1631,Email Opened,Businessman,5,5.56,89,1,0.8465,High,82,Call immediately — this lead has shown strong buying intent. Reference their email opened and offer a personalized demo.,High engagement: 19 website visits | Activity signal: 'Email Opened' indicates intent | Source 'Website' historically converts well,Contact within 24h,Email,Ready to buy — prioritize a personal outreach today.
LEAD-1119,Referral,22,496,Demo Requested,Unemployed,9,5.66,123,1,0.8461,High,83,Call immediately — this lead has shown strong buying intent. Reference their demo requested and offer a personalized demo.,High engagement: 22 website visits | Activity signal: 'Demo Requested' indicates intent | Source 'Referral' historically converts well,Contact within 24h,Phone,Ready to buy — prioritize a personal outreach today.
